TIME_STEP	STAGE	EPSILON	ACTION	REWARD	Qs_PREDICTED_EXAMPLE	Qs_TARGET_EXAMPLE	Loss
0	DELAY	1.0	0	0.1	NA	NA	NA
100	DELAY	1.0	0	0.1	NA	NA	NA
200	DELAY	1.0	0	0.1	NA	NA	NA
300	DELAY	1.0	1	0.1	NA	NA	NA
400	DELAY	1.0	0	-1	NA	NA	NA
500	DELAY	1.0	1	-1	NA	NA	NA
600	DELAY	1.0	0	-1	NA	NA	NA
700	DELAY	1.0	0	-1	NA	NA	NA
800	DELAY	1.0	0	-1	NA	NA	NA
900	DELAY	1.0	0	-1	NA	NA	NA
1000	DELAY	1.0	0	-1	NA	NA	NA
1100	DELAY	1.0	1	-1	NA	NA	NA
1200	DELAY	1.0	0	-1	NA	NA	NA
1300	DELAY	1.0	0	-1	NA	NA	NA
1400	DELAY	1.0	1	0.1	NA	NA	NA
1500	DELAY	1.0	0	0.1	NA	NA	NA
1600	DELAY	1.0	0	0.1	NA	NA	NA
1700	DELAY	1.0	0	0.1	NA	NA	NA
1800	DELAY	1.0	1	0.1	NA	NA	NA
1900	DELAY	1.0	0	0.1	NA	NA	NA
2000	EXPLORATION	0.99998	0	0.1	NA	NA	NA
2100	EXPLORATION	0.997979999999998	0	0.1	[ 604.79205322  606.97198486]	[ 650.91321411  606.97198486]	513.907
